"theme_name","color_name"
"Rock Raiders","Black"
"Royal Knights","Light Gray"
"Scala","White"
"Scooby-Doo","Light Bluish Gray"
"Sculptures","White"
"Seasonal","White"
"Series 1","Black"
"Series 1 Minifigures","Black"
"Series 10 Minifigures","Black"
"Series 11 Minifigures","Black"
"Series 12 Minifigures","Black"
"Series 13 Minifigures","Black"
"Series 14 Minifigures","Black"
"Series 15 Minifigures","Black"
"Series 16 Minifigures","Black"
"Series 17 Minifigures","Black"
"Series 2","Black"
"Series 2 Minifigures","Black"
"Series 3","Black"
"Series 3 Minifigures","Black"
"Series 4","Black"
"Series 4 Minifigures","Black"
"Series 5","Black"
"Series 5 Minifigures","Black"
"Series 6","Black"
"Series 6 Minifigures","Black"
"Series 7","Light Bluish Gray"
"Series 7 Minifigures","Black"
"Series 8","White"
"Series 8 Minifigures","Black"
"Series 9","Black"
"Series 9 Minifigures","Black"
"Service Packs","Black"
"Skull Spiders","Black"
"Skylines","Tan"
"Soccer","White"
"Soft Bricks","Red"
"Sorcerer's Stone","Light Gray"
"Space","Blue"
"Space Police I","Black"
"Space Police II","Black"
"Space Police III","Black"
"Space Port","White"
"Speed Champions","Black"
"Speed Racer","Black"
"Speed Slammers","Black"
"Speedorz","Black"
"Spider-Man","Black"
"Spider-Man 2","Black"
"SpongeBob SquarePants","Red"
"Sports","White"
"Spybiotics","Black"
"Spyrius","Black"
"Star Wars","Black"
"Star Wars Clone Wars","Light Bluish Gray"
"Star Wars Episode 1","Light Bluish Gray"
"Star Wars Episode 2","Light Bluish Gray"
"Star Wars Episode 3","Light Bluish Gray"
"Star Wars Episode 4/5/6","Light Bluish Gray"
"Star Wars Episode 7","Dark Bluish Gray"
"Star Wars Episode 8","Light Bluish Gray"
"Star Wars Expanded Universe","Black"
"Star Wars Expanded Universe","Dark Bluish Gray"
"Star Wars Other","Black"
"Star Wars Rebels","Light Bluish Gray"
"Star Wars Rogue One","Light Bluish Gray"
"Stars","Dark Bluish Gray"
"Station","White"
"Stingrays","Black"
"Studios","Black"
"Super Heroes","Black"
"Superman","Black"
"Supplemental","Red"
"Team GB","White"
"Technic","Black"
"Teenage Mutant Ninja Turtles","Light Bluish Gray"
"Temple of Doom","Dark Bluish Gray"
"Thanksgiving","Reddish Brown"
"The Battle of the Five Armies","Dark Bluish Gray"
"The Desolation of Smaug","Dark Bluish Gray"
"The Fellowship of the Ring","Dark Bluish Gray"
"The Hobbit","Reddish Brown"
"The Hobbit","Tan"
"The Hobbit","Black"
"The LEGO Movie","Black"
"The LEGO Movie Series","Black"
"The Lone Ranger","Black"
"The Lord of the Rings","Dark Bluish Gray"
"The Return of the King","Black"
"The Simpsons","Black"
"The Two Towers","Black"
"Throwbot Slizer","Black"
"Time Cruisers","Light Gray"
"Tiny Turbos","Black"
"Titans","Black"
"Toa","Black"
"Toa Hagah","Black"
"Toa Hordika","Dark Bluish Gray"
"Toa Inika","Black"
"Toa Mahri","Black"
"Toa Metru","Black"
"Toa Nuva","Black"
"Toa Okoto","Black"
"Tohunga","Black"
"Town","White"
"Town Plan","White"
"Toy Story","Black"
"Toy Story","Dark Bluish Gray"
"Track System","Black"
"Traffic","Black"
"Train","Black"
"Trains","Dark Bluish Gray"
"Turaga","Black"
"UFO","Black"
"Ultimate Collector Series","Black"
"Ultra Agents","Black"
"Unitron","Black"
"Universal Building Set","Red"
"Universe","White"
"Vahki","Black"
"Valentine","Red"
"Vehicle","Black"
"Vehicles","Black"
"Vikings","Black"
"Villains","Black"
"Visorak","Black"
"Warriors","Black"
"WeDo","White"
"Western ","Chrome Gold"
"Williams F1","Black"
"Wolfpack","Light Gray"
"World City","Dark Gray"
"World Racers","Black"
"X-Men","Black"
"X-Pod","Black"
"Xalax","Black"
"Znap","Black"
